"hour","wait_time"
24,35
23,35
22,35
22,25
21,25
21,17.5
20,15
20,10
19,10
19,0
25,30
25,35
24,35
23,40
22,35
22,35
21,35
20,20
20,10
20,15
19,15
19,0
25,35
25,30
24,42.5
24,35
23,40
23,35
22,35
22,20
21,10
21,10
20,20
20,27.5
19,25
19,0
24,27.5
24,35
23,37.5
23,30
22,35
22,22.5
21,25
21,17.5
20,25
20,15
19,20
19,0
25,35
24,35
23,30
22,35
22,27.5
21,17.5
20,10
20,17.5
19,27.5
19,0
24,35
24,35
23,40
23,35
22,50
22,42.5
21,35
21,25
20,35
20,35
19,30
19,0
24,45
24,30
23,45
22,40
22,42.5
21,45
20,30
20,25
19,20
19,0
25,30
24,30
22,40
22,60
21,60
21,40
21,40
20,30
20,40
19,15
19,0
24,40
23,45
23,60
22,45
21,45
20,35
20,20
19,30
19,35
19,0
25,20
25,30
24,30
23,40
23,35
22,35
22,30
21,30
20,22.5
19,17.5
19,25
19,0
23,40
23,52.5
21,20
20,12.5
20,35
19,25
19,20
25,40
24,45
23,35
23,30
22,50
21,45
20,40
20,35
19,0
25,20
23,40
22,40
21,45
21,45
20,35
20,35
19,35
19,0
25,30
24,40
23,55
23,50
22,45
22,30
21,45
21,35
20,40
20,35
19,40
19,0
25,25
24,37.5
24,37.5
22,35
22,52.5
21,40
20,27.5
20,40
19,40
19,0
23,40
22,45
22,40
21,55
21,45
20,47.5
19,55
19,40
19,0
24,30
24,35
23,40
22,40
22,45
21,40
21,35
20,30
19,30
19,0
24,35
24,45
23,55
22,45
22,40
21,25
21,15
20,17.5
20,10.5
19,25
19,35
19,0
24,45
23,45
22,25
22,45
21,35
20,40
20,40
19,40
19,0
25,20
25,30
24,30
24,35
23,47.5
22,50
21,52.5
20,55
20,47.5
20,45
19,0
25,37.5
24,52.5
23,67.5
22,15
21,10
21,60
20,50
20,20
19,60
19,0
25,25
24,35
24,35
23,55
22,40
21,40
21,55
20,40
19,45
19,0
23,45
20,55
19,35
19,40
19,0
25,20
25,25
24,25
24,30
23,40
22,40
22,35
21,35
21,40
20,30
20,30
19,30
19,35
19,0
25,17.5
25,10
24,15
24,10
22,45
22,45
21,40
21,30
20,10
19,20
19,0
24,40
24,45
23,35
23,35
21,40
21,35
20,30
19,35
19,0
25,30
24,35
24,40
23,45
22,47.5
21,60
21,45
20,45
20,35
19,40
19,0
25,47.5
24,60
23,52.5
22,60
21,70
20,20.5
19,0
25,20
25,10
24,35
23,35
23,45
22,40
21,30
21,40
21,45
20,40
20,30
19,40
19,0
25,15
24,30
24,40
23,45
21,45
20,40
20,35
19,35
19,0
25,25
25,25
25,30
24,35
22,30
21,40
20,40
19,40
19,0
25,17.5
24,22.5
24,37.5
23,40
23,42.5
22,40
21,35
20,20
20,25
19,35
19,35
19,0
24,52.5
24,40
23,40
22,40
22,40
21,40
21,30
20,35
20,35
19,40
19,0
25,30
24,47.5
23,50
23,40
21,40
20,40
20,45
20,42.5
19,35
19,0
25,45
24,30
24,37.5
23,40
23,47.5
21,40
21,60
20,45
20,35
19,40
19,0
25,20
24,15
23,30
23,35
22,40
21,40
20,25
20,25
19,25
19,0
23,25
22,37.5
21,45
21,35
20,45
19,50
19,0
25,25
23,47.5
23,30
21,40
21,27.5
20,30
19,35
19,20
19,0
25,10
24,35
23,27.5
23,30
22,25
22,25
21,20
21,45
21,20
20,20
20,25
20,8
19,20
19,0
25,30
24,45
24,40
23,35
22,35
22,35
21,25
20,25
20,15
19,30
19,40
19,0
25,40
24,35
24,47.5
24,50
23,50
23,50
22,40
22,45
21,45
21,42.5
20,42.5
20,30
19,45
19,40
19,25
19,0
25,30
25,30
24,37.5
23,45
23,47.5
22,47.5
21,47.5
21,40
20,45
20,30
19,30
19,0
25,25
24,35
24,40
22,40
22,40
21,40
20,40
20,40
19,40
19,11.5
19,0
25,35
24,40
22,50
22,60
21,50
20,45
19,40
19,0
25,25
24,40
24,40
23,40
22,40
21,35
21,30
21,25
20,15
20,15
19,20
19,0
25,30
23,37.5
23,37.5
22,45
22,45
21,35
21,35
20,25
20,30
19,25
19,0
19,0
25,10
24,20
24,25
23,30
22,30
22,40
21,20
21,20
20,20
19,25
19,0
25,30
25,20
24,25
23,25
22,37.5
22,40
21,37.5
21,35
20,20
19,30
19,0
26,20
25,30
24,40
24,40
23,40
22,40
22,40
21,40
21,40
20,40
20,35
19,40
19,35
19,0
25,20
23,40
22,52.5
21,52.5
20,35
19,30
19,0
24,30
24,25
23,25
23,20
22,25
22,25
21,25
21,30
20,35
19,25
19,25
19,0
24,30
23,25
23,35
22,40
22,30
21,15
21,20
20,25
19,25
19,0
25,40
24,20
23,15
23,30
22,40
21,25
21,25
20,25
19,25
19,0
25,30
24,25
24,30
23,30
23,45
22,40
22,35
21,45
21,45
20,35
20,20
19,27.5
19,0
25,20
25,20
24,15
23,30
22,30
22,35
21,35
21,45
20,60
20,40
19,35
19,0
24,35
24,30
22,60
22,40
22,40
21,40
20,40
19,30
19,40
19,0
25,15
24,40
23,22.5
22,25
22,35
21,45
20,25
19,40
19,0
25,45
24,22.5
24,30
24,30
23,45
23,35
22,30
22,37.5
21,35
21,17.5
20,30
20,17.5
19,25
19,0
25,17.5
25,30
24,30
24,25
23,35
23,30
22,20
22,30
21,30
21,20
20,10
20,10
19,15
19,0
25,35
24,45
23,50
22,45
21,35
21,17.5
20,25
19,25
19,0
25,10
25,10
24,15
24,20
23,30
22,60
22,40
21,35
21,25
20,20
20,20
19,25
19,30
19,0
25,10
25,10
24,45
24,60
23,45
22,45
22,47.5
21,45
21,60
20,50
20,45
19,45
19,30
19,0
25,20
24,40
22,40
22,40
22,40
21,40
21,40
20,40
20,40
19,40
19,0
25,25
24,40
24,50
23,60
22,40
22,40
21,50
20,40
20,45
19,35
19,45
19,0
25,20
23,30
23,25
22,25
21,37.5
21,35
20,30
19,25
19,0
25,17.5
25,30
24,35
23,25
22,25
21,25
20,17.5
19,17.5
19,0
24,60
23,45
22,50
21,35
21,35
20,50
19,52.5
19,0
25,25
25,30
24,25
24,30
23,35
23,40
22,47.5
22,45
21,52.5
21,45
20,60
20,50
19,40
19,0
25,10
25,10
24,30
23,45
23,45
22,60
22,60
21,60
20,60
20,50
20,55
19,60
19,60
25,10
25,30
24,35
24,60
23,60
22,60
21,45
21,60
20,60
20,40
19,0
25,10
25,45
24,50
24,50
23,1
22,50
22,60
21,60
21,60
20,50
20,45
19,42.5
19,35
19,0
25,10
25,10
24,25
24,35
23,40
23,40
22,40
21,40
21,40
20,40
20,30
20,30
19,30
19,0
25,20
24,10
24,10
23,30
23,20
22,25
21,25
21,10
21,20
20,10
20,10
19,10
19,0
25,15
25,20
24,30
23,30
23,30
22,30
22,20
21,25
20,20
19,0
25,10
24,27.5
23,45
23,35
22,20
22,10
21,17.5
21,25
20,20
19,12.5
19,0
25,35
24,30
24,35
23,40
23,35
22,25
21,25
21,20
20,17.5
20,37.5
19,40
19,0
24,40
24,35
23,30
23,30
22,25
21,15
21,25
20,20
20,10
20,15
19,15
19,0
25,40
24,30
24,40
23,32.5
23,40
22,15
21,35
21,25
20,30
19,20
19,0
25,30
24,35
23,35
22,35
21,15
20,10
20,15
19,25
19,0
25,25
24,30
24,35
23,35
23,40
22,37.5
22,25
21,30
21,25
20,25
19,30
19,15
19,0
26,10
25,20
24,25
24,30
23,20
22,30
22,37.5
21,30
21,40
20,30
20,35
19,30
19,0
25,40
25,40
24,50
23,40
23,30
22,37.5
22,35
21,37.5
21,47.5
20,25
20,30
19,25
19,45
19,10
25,15
24,40
24,30
23,35
22,40
21,40
21,40
20,35
19,25
19,0
25,25
25,30
24,50
23,45
22,45
21,40
20,45
20,50
19,40
19,0
25,10
25,10
24,17.5
23,20
22,10
22,15
21,17.5
20,20
20,15
19,10
19,10
19,0
24,10
23,10
22,10
22,10
21,10
20,10
20,10
19,10
19,10
19,0
25,10
25,10
24,10
21,10
21,10
20,10
20,10
19,10
19,0
24,35
23,25
22,15
21,25
20,25
19,25
19,35
19,0
25,30
24,25
24,47.5
23,30
22,40
21,25
21,42.5
20,40
20,35
19,40
19,0
25,15
25,10
24,40
24,40
23,30
22,40
22,37.5
21,30
21,30
20,35
19,40
19,45
19,0
25,15
24,20
24,25
23,40
22,25
22,20
21,30
21,30
20,25
20,12.5
19,17.5
19,0
25,10
25,30
24,20
23,25
23,30
22,25
21,20
21,20
20,15
19,30
19,35
19,17.5
25,37.5
25,40
24,45
24,60
23,30
22,20
22,45
21,30
21,30
20,45
20,35
19,45
19,0
24,37.5
24,30
23,25
23,47.5
22,40
22,27.5
22,35
21,47.5
21,45
20,40
20,55
19,45
19,30
25,20
24,40
23,50
23,45
22,40
21,35
21,45
20,35
19,40
19,0
25,35
24,35
24,40
23,45
22,40
22,45
21,40
21,40
20,45
19,40
19,40
19,0
25,10
25,10
24,30
24,35
23,40
23,35
22,40
22,20
21,20
21,10
20,45
20,30
19,27.5
19,0
25,40
25,25
24,25
23,40
22,25
22,40
22,40
21,40
21,45
20,45
20,30
20,20
19,40
19,40
19,0
25,30
24,35
24,40
23,40
22,35
22,35
21,30
21,25
20,15
19,25
19,25
19,0
25,30
24,45
24,35
23,45
23,45
23,47.5
22,45
21,45
21,45
20,45
20,40
19,45
19,0
25,17.5
25,25
24,27.5
24,47.5
23,37.5
22,47.5
21,50
21,45
20,55
19,35
19,40
19,15
25,15
25,25
24,25
24,30
23,40
22,35
21,40
21,45
20,35
19,45
19,0
25,10
23,30
22,30
22,25
21,30
21,35
20,20
20,20
19,25
19,0
25,10
24,15
24,35
23,25
22,30
22,30
21,30
21,25
20,30
20,20
19,20
19,0
25,20
25,30
24,35
24,10
23,45
22,45
22,20
21,30
21,27.5
20,30
20,10
19,0
25,30
24,40
24,35
24,35
23,30
23,20
23,40
22,30
22,40
21,40
21,40
21,25
20,15
20,10
19,30
19,30
19,0
25,35
24,50
23,30
21,40
21,35
19,35
19,35
19,0
25,10
25,10
24,25
24,15
23,30
22,35
22,37.5
21,25
21,20
20,30
19,17.5
19,27.5
19,10
24,47.5
23,40
21,32.5
20,40
20,30
19,0
25,10
24,35
23,40
23,40
22,45
22,40
21,40
20,35
20,25
19,30
19,35
19,0
25,45
24,10
24,20
23,30
23,45
23,30
22,30
22,45
21,30
21,15
20,37.5
20,25
19,45
19,0
25,30
25,45
24,50
23,40
23,40
22,40
22,35
21,30
21,35
20,17.5
19,25
19,25
19,0
24,35
24,60
23,60
21,25
20,45
20,40
19,25
19,35
19,0
25,30
24,30
24,35
23,30
23,35
22,50
22,45
21,30
21,27.5
20,25
20,10
19,20
19,0
25,12.5
24,37.5
23,40
23,40
22,27.5
22,45
21,50
21,55
20,50
20,37.5
19,30
19,0
24,35
24,25
23,30
22,35
22,25
21,35
21,30
20,40
19,25
19,0
25,25
24,15
24,30
23,60
22,40
22,40
21,40
20,45
20,35
19,35
19,20
19,0
25,15
24,25
23,30
23,10
22,10
22,20
21,30
21,30
20,25
20,25
19,22.5
25,35
24,40
24,40
23,35
22,20
22,25
21,15
21,25
20,10
20,10
19,15
19,0
25,15
25,20
24,30
23,25
23,40
22,40
22,35
21,15
21,15
20,30
19,25
19,30
19,0
25,30
24,27.5
24,30
23,15
23,25
22,35
21,45
21,35
20,45
20,30
19,25
19,0
25,10
25,17.5
24,17.5
24,25
23,30
21,20
21,30
20,17.5
19,30
19,25
19,12.5
25,15
25,25
24,40
23,25
23,35
22,30
21,45
21,40
20,35
19,25
19,0
24,20
23,30
21,35
20,40
20,30
20,30
19,30
19,0
25,20
25,40
24,47.5
23,45
22,30
22,50
21,35
21,40
20,45
20,47.5
19,45
19,0
23,40
22,37.5
21,17.5
20,32.5
19,35
19,0
25,35
24,25
22,40
21,35
21,15
20,25
19,15
25,25
24,15
23,30
23,25
22,45
22,35
21,40
21,40
21,40
20,30
20,27.5
19,30
19,0
25,17.5
25,12.5
24,15
24,30
24,10
23,17.5
23,25
22,40
22,30
21,40
21,40
20,40
20,40
19,25
19,17.5
19,25
19,0
25,30
24,35
24,60
23,55
22,45
21,40
21,55
20,50
20,50
19,45
19,0
25,25
25,35
24,45
24,50
23,60
23,60
22,60
21,60
21,25
20,40
19,40
19,45
19,0
25,10
25,25
24,35
23,60
23,60
22,60
22,40
21,40
21,25
20,40
19,35
19,0
25,30
24,60
24,25.5
23,60
23,60
21,50
21,30
20,30
20,15
19,15
19,27.5
19,0
25,30
25,35
24,60
23,60
23,60
22,40
22,50
21,30
20,30
20,15
19,15
19,30
19,0
25,35
24,30
24,52.5
23,25
22,30
22,40
21,40
21,40
21,40
20,35
19,30
19,27.5
19,0
26,10
25,15
25,20
24,50
24,45
23,45
22,40
22,55
21,47.5
21,45
20,40
20,35
19,30
19,10
24,45
23,50
23,25
22,50
21,60
20,40
20,30
19,0
25,47.5
24,1
24,1
23,1
22,1
21,60
19,60
19,40
19,0
25,20
25,40
24,17.5
24,40
23,35
23,30
22,20
21,10
21,30
20,10
20,25
19,20
19,0
25,17.5
25,10
24,20
24,25
23,12.5
22,40
22,20
21,20
21,10
20,10
20,15
19,10
19,0
25,40
24,30
24,30
23,40
23,40
22,25
22,35
21,20
21,10
20,15
20,15
19,15
19,0
25,20
24,40
24,25
23,25
22,35
22,52.5
22,40
21,35
21,20
20,15
19,25
19,10
19,0
25,15
25,17.5
24,45
24,35
23,45
22,27.5
22,20
21,22.5
20,25
20,30
20,20
19,40
19,20
19,0
24,20
24,47.5
23,30
22,42.5
22,35
21,25
21,35
20,25
20,15
19,35
19,0
25,10
25,10
24,10
24,40
23,35
23,40
22,30
22,40
21,25
21,20
20,25
20,20
19,35
19,30
19,0
25,10
23,10
23,25
22,15
21,15
20,15
19,10
19,0
25,25
24,37.5
23,27.5
23,27.5
22,20
21,10
21,12.5
20,10
20,10
19,0
25,10
24,20
24,20
23,20
23,25
22,12.5
22,17.5
22,25
21,25
21,14
20,15
20,12.5
20,20
19,10
19,0
25,10
24,10
24,10
23,15
22,20
22,20
21,25
21,15
20,17.5
20,10
19,10
19,0
24,10
22,20
19,15
19,0
25,10
24,15
23,22.5
22,25
21,10
19,12.5
19,17.5
24,10
24,30
23,15
23,35
22,22.5
22,17.5
21,15
21,10
20,10
20,10
20,0
22,15
21,10
21,10
20,10
20,0
24,10
23,10
22,10
22,10
21,10
20,10
20,10
20,0
21,30
20,20
20,0
24,10
23,10
21,20
20,15
20,17.5
20,0
23,30
22,15
22,25
21,20
21,20
20,10
20,0
22,12.5
22,20
21,10
21,10
20,17.5
20,0
23,10
22,10
21,15
20,10
20,10
22,10
21,15
20,20
20,0
24,40
23,45
23,20
21,25
21,30
20,35
20,40
20,0
23,10
23,10
22,10
21,10
21,10
20,12.5
20,0
24,10
23,10
22,20
22,12.5
21,12.5
21,17.5
20,10
20,15
23,20
22,20
21,25
21,20
20,10
20,15
20,0
24,10
23,10
23,10
22,10
21,10
20,10
20,0
24,10
23,17.5
22,15
22,22.5
21,10
20,12.5
20,10
20,0
24,20
22,10
22,10
21,10
21,10
20,10
20,10
20,0
24,10
23,10
22,17.5
22,10
21,10
20,10
20,0
23,40
23,40
22,45
22,30
22,17.5
22,10
21,10
23,15
23,20
22,30
22,10
21,10
21,10
20,10
20,0
23,10
23,10
22,10
22,10
21,10
20,10
20,0
23,20
22,10
22,10
20,10
20,0
24,10
24,10
23,10
23,10
22,10
21,10
20,10
25,10
24,10
24,15
23,12.5
22,17.5
21,17.5
21,15
20,10
22,20
21,15
20,10
20,0
23,7.5
23,10
21,10
21,10
20,10
20,0
24,10
24,10
23,10
22,12.5
19,0
24,15
24,15
23,17.5
22,25
22,20
21,20
20,25
20,0
24,10
23,10
23,35
22,30
22,15
21,15
20,20
20,10
24,10
22,10
21,10
20,10
20,0
25,10
24,10
23,12.5
22,12.5
21,15
21,20
20,17.5
20,10
19,0
19,0
25,20
24,10
24,27.5
23,15
23,25
22,10
22,10
21,10
21,10
20,10
19,10
19,0
23,25.5
22,45
22,30
21,35
21,15
20,20
20,32.5
19,45
19,37.5
19,0
25,35
23,60
22,47.5
22,50
21,60
21,60
20,60
20,47.5
25,12.5
25,20
24,22.5
24,25
23,25
22,35
22,45
21,20
21,20
20,30
19,20
19,20
25,25
24,30
23,30
23,20
22,20
21,40
21,30
20,20
20,20
19,20
19,0
25,30
25,30
24,30
23,40
23,45
22,30
22,20
21,20
20,12.5
20,20
19,10
19,0
24,35
24,30
23,25
22,30
21,20
20,10
19,20
19,0
25,15
24,25
23,35
23,40
22,27.5
21,15
20,20
20,20
19,15
19,0
26,15
25,22.5
25,27.5
24,45
23,40
22,45
22,30
21,10
20,17.5
20,20
19,25
19,12.5
19,0
25,30
24,40
23,40
23,40
22,40
21,35
21,35
21,15
20,15
20,30
19,35
19,20
24,25
24,37.5
23,35
22,55
22,35
21,17.5
20,15
20,30
19,25
25,10
25,20
24,37.5
24,45
23,40
22,35
22,35
21,30
21,25
20,12.5
20,15
19,30
19,20
19,0
24,30
23,55
23,60
22,40
22,35
20,10
19,12.5
19,15
19,0
25,10
24,25
24,35
23,40
22,40
21,35
20,17.5
19,17.5
19,0
25,30
24,50
23,40
22,47.5
21,25
20,30
19,30
19,0
25,15
25,30
23,40
22,35
21,35
21,20
20,25
20,40
19,0
26,10
25,27.5
25,30
24,40
23,45
23,45
22,60
21,60
20,60
20,60
19,50
19,0
25,35
23,60
22,60
21,37.5
20,40
19,35
19,0
25,15
25,32.5
24,40
23,37.5
23,42.5
22,35
22,45
22,35
21,30
21,25
20,25
20,17.5
19,15
19,0
25,32.5
24,40
24,32.5
20,17.5
19,22.5
19,0
25,37.5
25,30
24,40
24,10
23,50
23,37.5
22,40
22,10
21,10
21,7.5
20,7.5
19,7.5
19,0
26,20
25,20
24,35
24,40
23,20
21,17.5
20,25
20,12.5
19,30
19,30
25,10
24,30
23,20
22,35
22,35
21,27.5
21,40
20,35
20,17.5
19,17.5
19,15
19,15
19,0
25,27.5
25,47.5
24,60
23,60
23,45
22,45
21,35
20,40
19,10
19,10
25,17.5
24,32.5
23,35
22,50
21,37.5
20,42.5
19,30
19,0
25,30
24,55
23,60
23,45
22,30
22,25
21,35
